station_id	name	altitude	lat	lon
3414001	Rio Pulido En Vertedero	1310	-28.085800170898438	-69.94080352783203
3414002	Iglesia Colorada	1550	-28.15719985961914	-69.88079833984375
3826003	Huasco Bajo	50	-28.47249984741211	-71.19309997558594
3823004	La Compaia (Vallenar)	430	-28.576099395751953	-70.80809783935547
3820004	Santa Juana	560	-28.667200088500977	-70.6624984741211
3820002	Rio Huasco En Chepica	600	-28.69969940185547	-70.55000305175781
3806002	El Transito	1100	-28.87310028076172	-70.2822036743164
3815004	San Felix	1150	-28.931100845336914	-70.4614028930664
3802001	Rio Conay En Las Lozas	0	-28.945600509643555	-70.1010971069336
3802005	Conay	1450	-28.975000381469727	-70.1532974243164
3804005	El Parral	1400	-28.979700088500977	-70.19860076904297
3814003	Rio Carmen En El Corral	2000	-29.109399795532227	-70.41390228271484
4120001	El Trapiche	300	-29.37310028076172	-71.11810302734375
4335002	La Serena (Escuela Agricola)	15	-29.906099319458008	-71.25559997558594
4308001	Rio Turbio En Varillar	890	-29.94580078125	-70.53279876708984
4302001	Rio Toro Antes Junta Rio La Laguna	2165	-29.971099853515625	-70.0927963256836
4302014	Juntas	2150	-29.976900100708008	-70.09439849853516
4308003	Rivadavia	820	-29.97719955444336	-70.56169891357422
4314002	Rio Claro En Rivadavia	820	-29.978099822998047	-70.55249786376953
4323007	Almendral	370	-29.982200622558594	-70.9186019897461
4321001	Puclaro Embalse	460	-29.996400833129883	-70.85559844970703
4400002	Pan De Azucar	100	-30.002199172973633	-71.25920104980469
4311005	La Ortiga	1560	-30.193899154663086	-70.48190307617188
4301005	La Laguna Embalse	3160	-30.20330047607422	-70.04219818115234
4502005	Hurtado	1100	-30.286699295043945	-70.69609832763672
4502004	La Cortadera	920	-30.350299835205078	-70.7699966430664
4503001	Rio Hurtado En Angostura De Pangue	485	-30.438600540161133	-71.002197265625
4506007	Recoleta Embalse	350	-30.506900787353516	-71.09970092773438
4551004	Ovalle (Escuela Agricola)	340	-30.552799224853516	-71.16419982910156
4557001	Salala	100	-30.678300857543945	-71.52999877929688
4540006	Paloma Embalse	320	-30.69580078125	-71.03610229492188
4523004	Puntilla San Juan	430	-30.702499389648438	-70.91780090332031
4523002	Rio Grande En Puntilla San Juan	420	-30.704700469970703	-70.92440032958984
4537003	El Tome	420	-30.817800521850586	-70.97059631347656
4513004	Caren	740	-30.854700088500977	-70.77079772949219
4535001	Cogoti Embalse	740	-31.00779914855957	-71.08560180664062
4511003	Las Ramadas	1380	-31.01810073852539	-70.58580017089844
4531002	Rio Cogoti Entrada Embalse Cogoti	670	-31.032499313354492	-71.04029846191406
4530001	Rio Cogoti En Fraguita	1065	-31.111900329589844	-70.88500213623047
4721001	Rio Illapel En Las Burras	1079	-31.506900787353516	-70.8125
4722001	Santa Virginia	980	-31.55030059814453	-70.83529663085938
4723001	Rio Illapel En Huintil	775	-31.560800552368164	-70.96440124511719
4726003	Illapel Dga	290	-31.645000457763672	-71.19080352783203
4710001	La Tranquilla	1000	-31.899999618530273	-70.67060089111328
4810003	Caimanes	450	-31.932199478149414	-71.13610076904297
4902002	Los Condores	190	-32.10860061645508	-71.3125
5200006	Alicahue	750	-32.34080123901367	-70.75279998779297
5414001	Rio Putaendo En Resguardo Los Patos	1218	-32.50170135498047	-70.58110046386719
5404001	Canal Colorado En Bocatoma	1391	-32.83470153808594	-70.35330200195312
5410002	Rio Aconcagua En Chacabuquito	950	-32.85029983520508	-70.5093994140625
5410006	Vilcuya	1100	-32.86029815673828	-70.4719009399414
5401003	Rio Juncal En Juncal	1800	-32.86249923706055	-70.1675033569336
5426004	Quillota	130	-32.89580154418945	-71.20919799804688
5403002	Rio Aconcagua En Rio Blanco	1420	-32.906700134277344	-70.30359649658203
5500003	Las Salinas	20	-33.00189971923828	-71.54669952392578
5733008	Rungue Embalse	700	-33.01940155029297	-70.90809631347656
5510001	Rodelillo	110	-33.05030059814453	-71.58329772949219
5510005	Cerro Colorado Armada De Chile	510	-33.08190155029297	-71.61689758300781
